category,price,discount,quantity,payment_method,delivery_time_days,region,total_amount,shipping_cost,profit_margin,customer_age,customer_gender,returned
4,341.15,0.0,4,0,4,3,1364.6,10.43,371.66,29,0,1
3,5.05,0.1,1,2,6,3,4.54,3.18,-2.82,36,0,0
6,2.31,0.05,2,1,7,1,4.39,3.67,-1.91,51,0,0
5,44.85,0.0,5,4,6,0,224.25,6.9,60.37,47,0,0
1,292.03,0.0,2,2,5,1,584.06,9.47,60.62,30,1,0
2,54.25,0.0,1,3,7,4,54.25,6.71,12.28,34,1,0
3,5.46,0.0,1,2,5,1,5.46,0.0,0.44,41,1,0
2,163.05,0.0,1,1,3,2,163.05,8.94,48.13,39,0,1
2,65.84,0.0,1,4,5,4,65.84,5.81,17.23,64,1,0
6,7.82,0.0,1,1,7,0,7.82,3.24,-0.11,69,1,0
3,13.41,0.0,1,5,4,4,13.41,1.85,-0.78,23,0,0
1,275.88,0.0,1,2,3,0,275.88,9.02,24.09,51,1,0
6,5.34,0.15,1,1,5,2,4.54,2.94,-1.12,58,1,0
5,455.56,0.0,1,2,4,3,455.56,9.47,127.2,65,1,0
1,885.7,0.0,1,2,5,3,885.7,11.06,95.22,29,1,0
0,24.39,0.0,2,1,6,0,48.78,5.76,16.19,42,1,0
5,251.53,0.0,2,5,4,4,503.06,9.07,141.85,65,1,0
0,3.59,0.0,4,1,5,2,14.36,3.98,2.48,48,0,0
3,17.12,0.1,3,1,4,0,46.22,4.7,-1.0,38,1,0
1,175.94,0.0,1,2,6,1,175.94,9.84,11.27,65,0,0
4,24.26,0.2,2,2,4,2,38.82,7.12,3.75,69,1,1
0,43.72,0.0,1,0,6,3,43.72,6.07,13.6,60,0,0
0,10.05,0.1,1,2,4,3,9.05,4.09,-0.02,62,0,0
5,61.32,0.0,1,2,5,0,61.32,4.95,13.45,27,0,0
5,77.14,0.15,1,5,4,4,65.57,6.42,13.25,21,0,0
5,59.53,0.1,1,1,8,1,53.58,6.82,9.25,60,0,0
5,121.04,0.0,2,2,4,4,242.08,8.52,64.1,18,0,0
1,85.01,0.15,1,1,4,3,72.26,6.96,1.71,37,1,0
2,26.71,0.1,1,3,4,3,24.04,4.24,4.17,66,1,0
2,225.53,0.0,1,1,4,0,225.53,8.88,70.06,29,1,0
3,21.06,0.0,4,0,5,0,84.24,5.6,1.14,61,0,0
2,57.45,0.1,2,1,8,1,103.41,6.86,29.33,38,1,0
1,161.2,0.0,4,5,5,4,644.8,9.28,68.1,44,0,0
2,78.82,0.05,1,1,6,1,74.88,4.93,21.28,39,0,0
2,7.2,0.05,1,1,4,3,6.84,3.21,-0.82,23,1,0
4,114.65,0.0,1,1,5,1,114.65,8.05,24.05,31,0,0
6,73.55,0.0,1,1,6,1,73.55,5.47,23.95,25,0,0
3,26.06,0.05,1,4,4,2,24.76,2.76,-0.78,25,0,0
2,13.43,0.0,1,1,5,1,13.43,3.95,0.75,25,1,0
4,20.25,0.15,1,2,4,3,17.21,4.89,-0.07,35,2,0
0,49.55,0.0,1,1,5,3,49.55,3.55,18.75,34,0,0
1,362.34,0.0,1,3,7,4,362.34,9.31,34.17,45,1,0
1,209.9,0.05,3,4,4,2,598.22,9.21,62.58,60,1,0
1,1264.94,0.0,1,4,6,3,1264.94,9.89,141.9,43,0,0
3,16.06,0.0,4,5,4,4,64.24,5.64,-0.5,23,1,0
1,780.8,0.05,1,0,6,1,741.76,9.32,79.69,38,1,0
4,53.07,0.05,1,3,5,0,50.42,6.29,7.83,59,1,0
1,135.12,0.15,1,2,5,3,114.85,6.07,7.71,42,0,0
2,13.66,0.0,2,0,3,2,27.32,4.74,4.82,31,1,0
5,23.93,0.0,3,4,4,2,71.79,7.05,14.49,21,0,0
1,172.74,0.0,1,0,6,4,172.74,7.55,13.18,20,0,0
6,35.69,0.05,1,4,5,2,33.91,5.19,8.37,26,1,1
4,40.07,0.0,1,1,6,3,40.07,5.52,5.7,27,0,0
2,43.89,0.0,1,1,5,3,43.89,5.76,9.6,31,0,0
6,15.89,0.05,1,4,4,0,15.1,3.5,2.54,28,1,0
2,37.51,0.05,1,0,5,3,35.63,5.78,6.69,68,0,0
2,21.97,0.0,1,1,6,3,21.97,5.61,2.08,46,1,0
2,15.24,0.15,2,1,6,0,25.91,5.47,3.6,36,0,0
0,3.79,0.0,1,1,4,3,3.79,3.13,-1.42,60,1,0
4,59.36,0.0,1,4,5,0,59.36,7.47,9.15,35,0,1
2,7.12,0.0,1,3,5,1,7.12,3.02,-0.53,67,0,1
1,68.7,0.05,2,1,4,2,130.53,7.08,8.58,35,1,0
4,37.91,0.0,1,1,7,3,37.91,5.26,5.35,53,1,0
4,130.2,0.3,1,1,5,4,91.14,6.85,18.67,22,0,0
5,53.51,0.0,1,0,3,2,53.51,5.67,10.38,46,0,0
1,241.65,0.0,2,5,6,4,483.3,9.96,48.04,28,1,0
